name,latitude,longitude,precipitation
Gmuend-Speicher,47.932999,13.797,3.890710382513662
Gralla,46.828285,15.566222,2.504918032786886
Gratkorn,47.1333,15.35,3.065300546448088
Graz puntigam,47.039749,15.442537,2.4868852459016417
Greifenstein,48.3553,16.2424,2.152459016393442
Gries,47.287673,12.885052,3.5849726775956263
Großraming,47.892954,14.512341,3.630874316939889
Gunggl,47.09048,11.792702,4.828142076502734
Gössendorf,46.997841,15.467519,2.740983606557379
Heinfels-M1,46.748001,12.434,3.9316939890710376
Hieflau,47.6,14.7333,3.635245901639343
Hierzman-Speicher,47.016998,15.125,3.0562841530054654
Hintermuhr,47.799406,13.04399,4.180054644808744
Häusling Haeusling-KW - Haeusling Pumped Storage Power Plant Austria,47.146432,11.967219,4.752185792349724
Imst,47.212246,10.721519,3.898360655737707
Jochenstein,48.5184,13.7076,3.142076502732241
KW Amlach,46.8142,12.7618,4.181967213114752
KW Jenbach,47.3932,11.7886,3.942349726775954
KW Kaunertal,47.0678,10.6652,4.092896174863388
KW Kühtai,47.2078,11.0057,4.26912568306011
KW Silz,47.2696,10.9678,4.467759562841531
Kalsdorf,46.944097,15.50363,2.43688524590164
Kalserbach-M1,46.923,12.601,4.036065573770491
Kaprun Limberg II,47.1985,12.7223,4.438251366120217
Kaprun Oberstufe,47.1968,12.7192,4.438251366120217
Kaprun main stage,47.2591,12.7389,3.5849726775956263
Kellerberg,46.67,13.6886,3.8617486338797793
Kirchbichl-M1,47.515999,12.088,4.712841530054645
Klaus,47.8314,14.1572,3.8499999999999983
Kopswerk I - Kops I Hydroelectric Power Plant Austria,46.976121,10.05145,5.027868852459015
Kopswerk II,46.975,10.043,5.027868852459015
Koralpe Koralpe Pumped Storage Power Plant Austria - Koralpe Pumped Storage Power Plant Austria,46.640777,14.948802,2.8901639344262327
Kraftwerk Alberschwende,47.470464,9.862094,5.479508196721309
Kraftwerk Kamering,46.738998,13.594,3.8459016393442647
Kraftwerk Oschenik,46.987999,13.106,4.012295081967212
Kraftwerk Schuett,46.570999,13.722,3.5939890710382523
Kraftwerk Woella,46.875,13.138,4.319125683060109
Kraftwerk Wurten,46.987999,13.106,4.012295081967212
Kraftwerk Zirknitz,47.009998,13.01,3.826502732240439
Kraftwerk außerfragant Kraftwerk Ausserfragant,46.938056,13.109722,3.95792349726776
Kreuzbergmaut,47.4412,13.2108,4.19207650273224
Kreuzeck days storage,46.8727,13.3117,4.012021857923496
Krippau,47.703511,14.689298,3.425956284153004
Landl,47.651131,14.750286,3.635245901639343
Langkampfen-M1,47.560001,12.139,4.504644808743171
Latschau Latschau Hydroelectric Power Plant Austria - Latschau Hydroelectric Power Plant Austria,47.0739,9.8749,4.344808743169395
Laufnitzdorf,47.3,15.3167,3.0729508196721325
Lavamünd Lavamuend-KW - Lavamuend Hydroelectric Power Plant Austria,46.643429,14.937028,2.8901639344262327
Lebring,46.8522,15.5383,2.504918032786886
Leoben,47.3833,15.1,2.465027322404373
Losenstein,47.9243,14.4367,3.630874316939889
Lünerseewerk,47.074,9.874,4.344808743169395
Malta Secondary school,47.0659,13.3539,3.904098360655735
Malta main stage,47.0659,13.3539,3.904098360655735
Malta unterstufe Malta-Unterstufe-KW - Malta Unterstufe (Moellbruecke) Hydroelectric Power Plant Austria,46.8332,13.360071,3.2270491803278705
Mandling,47.4,13.5667,3.664207650273223
Mayrhofen,47.1581,11.8501,4.752185792349724
Melk,48.2232,15.3042,2.183333333333334
Mellach run power plant,46.910999,15.486,2.43688524590164
Mühlrading,48.131686,14.473996,2.6040983606557395
Nassfeld,47.05,13.05,4.140163934426229
Neuötting,48.249796,12.691102,3.155464480874318
Niklai,46.8167,13.3167,4.157650273224043
Nussdorf near Vienna,48.259257,16.369185,1.999453551912569
Oberaudorf Ebbs,47.6413,12.1989,4.413934426229505
Obervermuntwerk,46.9271,10.0539,4.733879781420769
Obervermuntwerk II,46.936111,10.0625,4.733879781420769
Obervogau,46.745776,15.571428,2.397267759562841
Oschenik innerfragant Innerfragant Pumped Storage Power Plant Austria - Innerfragant Pumped Storage Power Plant Austria,47.137482,12.32734,4.121857923497267
Ottensheim-Wilhering,48.3166,14.1512,2.5868852459016405
Passau-Ingling,48.5536,13.4371,2.937158469945357
Paternion,46.7209,13.6453,3.8459016393442647
Peggau,47.2,15.35,3.051092896174863
Pernegg,47.3598,15.3424,2.7519125683060133
Pichlern,48.022415,14.322989,2.8330601092896184
Pöls,47.217744,14.599075,2.664480874316941
Rabenstein,47.251148,15.31034,3.0729508196721325
Reisseck Reisseck-Jahresspeicher-KW - Kolbnitz (Reisseck/Kreuzeck) Hydroelectric Power Plant Austria,46.894112,13.343152,4.253825136612023
Reißeck-Tagesspeicher-KW,46.872971,13.311801,4.012021857923496
Rellswerk,47.053183,9.752972,5.224043715846992
Remsach,47.133333,13.133333,3.879234972677597
Rifawerk Rifa Pumped Storage Power Plant Austria - Rifa Pumped Storage Power Plant Austria,46.978255,10.038377,5.027868852459015
Rodundwerk I,47.085,9.8813,4.971311475409833
Rodundwerk II,47.0847,9.8744,4.344808743169395
Rosegg-St. James,46.5696,14.0268,3.720765027322405
Rosenau,47.992886,14.376871,3.3256830601092884
Rott,47.799406,13.04399,4.180054644808744
Roßhag Rosshag-KW - Rosshag Pumped Storage Power Plant Austria,47.086876,11.774061,4.651092896174863
Salza,47.491345,13.956943,3.170765027322404
Schonau,47.775426,14.650605,3.360382513661204
Schwabeck,46.658,14.8726,2.8901639344262327
Schwarzach,47.3152,13.1389,4.049999999999998
Schwarzach-KW,46.929001,12.545,4.036065573770491
Schärding neuhaus,48.435553,13.440945,2.921857923497268
Sidan-KW,47.348999,11.885,4.70109289617486
Soelk-KW,47.433998,13.949,3.4103825136612005
Spielfeld,46.716449,15.62127,2.557377049180329
St. Georgen,47.104453,14.087593,3.022404371584701
St. Johann,47.3386,13.1974,4.049999999999998
St. Martin,46.987392,15.091178,3.0562841530054654
St. Pantaleon,48.224936,14.53116,2.474590163934427
St. Veit,47.3214,13.1744,4.049999999999998
Staning,48.098607,14.468763,2.6040983606557395
Strubklamm,47.799406,13.04399,4.180054644808744
Ternberg,47.9333,14.35,3.369125683060107
Triebenbach,47.5,14.4667,3.502459016393442
Urreiting,47.3749,13.2101,4.049999999999998
Vermuntwerk,46.9684,10.0599,5.027868852459015
Vienna-Freudenau,48.1766,16.0,2.463661202185793
Villach,46.6329,13.8294,3.139071038251365
Wald,47.904444,13.026389,4.0136612021857925
Walgauwerk,47.192,9.6815,5.294262295081967
Wallnerau Salzach stage,47.316,13.141,4.049999999999998
Wallnerau underwater stage,47.31554,13.140946,4.049999999999998
Wallsee-Mitterkirchen,48.1666,14.6953,2.39153005464481
Weinzödl,47.108388,15.392094,3.065300546448088
Werfen-Pfarrwerfen,47.4698,13.1945,3.800819672131144
Weyer,47.84903,14.638828,3.346448087431696
Wiestal,47.799406,13.04399,4.180054644808744
Ybbs-Persenbeug,48.1892,15.0682,2.2601092896174872
Zederhaus,47.15,13.5,3.0918032786885257
Mingechevir,40.79,47.0287,1.5374316939890726
Shamkir,40.9487,46.168,1.3986338797814213
Varvara,40.6837,47.0926,1.349453551912568
Yenikend,40.9193,46.2829,1.8502732240437163
Beverce robertville Beverce (Robertville) Hydroelectric Power Project Belgium - Beverce (Robertville) Hydroelectric Power Project Belgium,50.4387,6.0386,3.862295081967212
COO,50.3849,5.8618,3.809016393442621
HEID-DE-GOREUX 1,50.426,5.7328,3.3136612021857883
HU AMPSIN-NEUVILLE,50.5335,5.2962,3.028142076502732
HU ANDENNE,50.4928,5.07,2.946448087431695
HU GRAND-MALADES,50.4665,4.8992,2.9185792349726785
HU IVOZ-RAMET,50.5922,5.4613,2.909836065573773
HU LIXHE,50.7517,5.6863,3.2035519125683085
HU MONSIN,50.6517,5.6308,2.997814207650274
PLATE TAILLE T,50.1884,4.3861,2.9275956284152995
Bocac Hydroelectric Power Plant Bosnia and Herzegovina,44.5075,17.1618,3.012841530054645
Capljina Pumped Storage Power Plant Bosnia and Herzegovina,43.0133,17.8041,3.324863387978142
Grabovica Hydroelectric Power Plant Bosnia and Herzegovina,43.5872,17.7189,3.696994535519128
Jablanica Hydroelectric Power Plant Bosnia and Herzegovina,43.6924,17.7325,3.794808743169399
Jajce I Hidroelektrana Bosnia and Herzegovina,44.3774,17.2816,2.3800546448087427
Jajce II Hidroelektrana Bosnia and Herzegovin,44.4279,17.2404,2.3800546448087427
Krupa Hydroelectric Power Plant Bosnia and Herzegovina,44.5624,17.135,3.012841530054645
Mostar Hydroelectric Power Plant Bosnia and Herzegovina,43.3776,17.8449,6.122677595628415
Mostarsko Blato Hydroelectric Power Plant Bosnia and Herzegovina,43.2989,17.794,4.698360655737703
Pec Mlini Hydroelectric Power Plant Bosnia and Herzegovina,43.3375,17.3261,4.987704918032785
Rama Hydroelectric Power Plant Bosnia and Herzegovina,43.747,17.6758,3.395355191256831
Salakovac Hydroelectric Power Plant Bosnia and Herzegovina,43.4478,17.8369,6.181693989071037
Trebinje I Hydroelectric Power Plant Bosnia and Herzegovina,42.7338,18.4971,3.656284153005464
Trebinje II Hydroelectric Power Plant Bosnia and Herzegovina,42.7066,18.3805,4.491803278688525
Visegrad Hydroelectric Power Plant Bosnia and Herzegovina,43.7603,19.2891,2.0224043715847
Aleko Aleko Hydroelectric Power Plant Bulgaria - Aleko Hydroelectric Power Plant Bulgaria,42.1194,24.289,1.2978142076502734
Alexander Stambolyski Hydro Power Site,43.1213,25.171,1.910109289617486
Barzia HPP,43.19,23.167,2.436338797814208
Batak Batak Hydroelectric Power Plant Bulgaria - Batak Hydroelectric Power Plant Bulgaria,41.91922,24.19305,2.898360655737704
Beli Iskar + Mala Tsarkva + Simeonovo HPP,42.1373,23.5691,2.9117486338797827
Devin Devin Hydroelectric Power Plant Bulgaria - Devin Hydroelectric Power Plant Bulgaria,41.72052,24.42502,1.579234972677596
HPP Tsankov kamak,41.83225,24.42183,2.111202185792349
IVAILOVGRAD,41.5839,26.1075,1.6008196721311478
KARDZHALI,41.6334,25.3381,1.7740437158469944
Kalin + Kamenitsa + Pastra + Rila HPP,42.07,23.13,1.8333333333333344
Klisoura HPP,43.16859,23.15498,2.436338797814208
Kokalyane HPP,42.58398,23.42819,1.6090163934426231
Koprinka HPP (Kaplan),42.6125,25.3198,1.7245901639344268
Krichim + Vacha I + Vacha II Hydro Power Plant,42.02719,24.47085,1.8633879781420768
Lilyanovo,41.62674,23.33449,2.0174863387978137
MOMINA KLISU,42.232,23.9494,1.382513661202186
Orphey Orfeus bulgeria HPP_ORFEUS_PUMP - Orfeus Pumped Storage Hydroelectric Power Plant Bulgeria,41.940278,24.446667,2.106557377049181
PESHTERA,42.0132,24.2574,2.075956284153006
PSBELMEKEN,42.1996,23.8586,2.826229508196721
PSCHAIRA GEN,42.1603,23.8612,2.387431693989071
Pasarel Hydro Power Station,42.5441,23.4861,1.6090163934426231
Petrohan HPP,43.12,23.12,2.533879781420766
Pirin HPP,41.5745,23.5626,2.287978142076504
Popina Laka,41.65627,23.3754,1.4595628415300548
SESTRIMO,42.2083,23.9158,1.382513661202186
Sandanski I,41.58536,23.2905,1.3983606557377055
Spanchevo HPP,41.56265,23.56559,2.287978142076504
Stara Zagora HPP,42.4452,25.6364,1.6273224043715842
Studen kladenets Studen Kladenets Hydroelectric Power Plant Bulgaria - Studen Kladenets Hydroelectric Power Plant Bulgaria,41.61227,25.64052,1.6609289617486345
Teshel Teshel Hydroelectric Power Plant Bulgaria - Teshel Hydroelectric Power Plant Bulgaria,41.6428,24.153,2.181693989071038
Cakovec Hydroelectric Power Plant Croatia Croatia,46.3113,16.4945,2.205191256830602
Djale Hydroelectric Power Plant Croatia,43.5745,16.7115,3.541256830601091
Dubrava Hydroelectric Power Plant Croatia Croatia,46.3205,16.7489,2.1653005464480866
Dubrovnik Hydroelectric Power Plant Bosnia and Herzegovina,42.6037,18.2357,4.373224043715847
Fužine,45.304985,14.714837,6.130601092896173
Gojak Hydroelectric Power Plant Croatia Croatia,45.2989,15.2633,3.214207650273225
Golubic Hydroelectric Power Plant Croatia Croatia,44.09,16.2204,4.2019125683060095
HE Rijeka,45.334999,14.452,5.269672131147543
Hidroelektrana Velebit / Velebit pump,44.200733,15.681117,5.393989071038251
Jaruga Hydroelectric Power Plant Croatia Croatia,43.805,15.9626,3.3806010928961747
Kraljevac Hydroelectric Power Plant Croatia,43.4307,16.8849,3.213661202185792
Lesce Hydroelectric Power Plant Croatia Croatia,45.3485,15.3452,3.4133879781420764
Maljacka Hydroelectric Power Plant Croatia Croatia,44.0019,16.0192,3.439617486338797
Orlovac Hydroelectric Power Plant Croatia,43.6737,16.784,3.6267759562841513
Ozalj Hydroelectric Power Plant Croatia Croatia,45.6143,15.4778,2.9038251366120216
Peruca Hydroelectric Power Plant Croatia,43.7951,16.5968,3.968852459016394
Senj - Senj Hydroelectric Power System Croatia Croatia,45.009998,14.893,4.147814207650273
Senj Hydroelectric Power System Croatia Croatia,44.9429,14.9276,3.853825136612018
Sklope Hydroelectric Power Plant Croatia Croatia,44.6895,15.2706,3.3718579234972674
Varazdin Hydroelectric Power Plant Croatia Croatia,46.3479,16.2684,2.252459016393444
Vinodol Hydroelectric Power System Croatia Croatia,45.2286,14.6736,5.367486338797813
Zakucac Hydroelectric Power Plant Croatia,43.4581,16.7027,3.151092896174865
?t?chovice I,49.8465,14.4219,2.222131147540985
?t?chovice II,49.8465,14.4219,2.222131147540985
Dale?ice,49.1245,16.1242,1.872131147540984
Dlouhé Strán? I,50.0854,17.1794,3.4281420765027337
Hnevkovice,49.180417,14.447083,2.110655737704918
Kamyk republic Kamyk Hydroelectric Power Plant Czech Republic - Kamyk Hydroelectric Power Plant Czech Republic,49.633,14.2468,2.4306010928961763
Lipno I,48.6333,14.2375,2.7524590163934426
Nechranice,50.36625,13.412917,1.7857923497267774
Orlík,49.6066,14.1816,2.177868852459018
Slapy,49.82354,14.434501,2.212295081967214
Slezska Harta,49.89125,17.579583,2.682513661202186
Strekov republic Strekov Hydroelectric Power Plant Czech Republic - Strekov Hydroelectric Power Plant Czech Republic,50.6386,14.0478,1.8789617486338803
Vir I,49.56625,16.30875,2.3267759562841537
Vrane republic Vrane Hydroelectric Power Plant Czech Republic - Vrane Hydroelectric Power Plant Czech Republic,49.9381,14.3749,2.0759562841530066
Vranov,48.907917,15.817083,1.9677595628415303
Ahvenkoski,60.5,26.5,2.107103825136613
Aittokoski,64.836458,28.85048,2.2259562841530047
Alakoski,62.55,29.25,1.8819672131147536
Anjalankoski,60.698333,26.816111,2.100546448087432
Atro,63.3725,27.988333,2.036885245901639
Finlayson ve,61.5025,23.759444,2.25464480874317
Haapakoski,65.3333,25.2833,2.179234972677596
Hamari,64.075556,24.579444,1.9092896174863383
Hietamankoski,62.599444,25.575,2.0382513661202184
Hilmonkoski,63.063333,25.337222,2.142622950819674
Hinkua,63.701944,25.352222,2.035245901639345
Hirvikoski,62.809444,23.035833,2.1371584699453563
Imatra Imatra - Imatra Hydroelectric Power Plant Finland,61.166797,28.774695,1.9890710382513663
Inkeroinen ve,60.710278,26.813611,2.100546448087432
Isohaara,65.797083,24.549583,2.420218579234974
Juankoski,63.0675,28.338611,2.0150273224043715
Jumisko,66.3333,28.15,1.981420765027324
Juotas,63.5,22.5333,2.2229508196721333
Jylhama,64.57875,26.76625,2.201092896174864
KAVO Koivukoski III,64.223333,27.784444,2.2472677595628414
Kaaranneskoski,66.647,24.4266,1.922677595628417
Kaihua,66.35,26.85,1.9095628415300552
Kaitfors,63.694,23.4009,2.0915300546448075
Kaltimo,62.807917,30.179583,2.12568306010929
Karjalankoski,63.044722,28.304167,2.020765027322405
Katerman vesivoimalaitos,64.096111,28.973889,1.904098360655738
Kattilakoski,63.47,23.306389,2.0284153005464485
Keltti hydropower plant,60.873611,26.614444,1.946174863387978
Kelukoski,67.455556,26.598333,1.8254098360655744
Kierikki,65.359444,25.91,1.987431693989073
Killinkoski,62.4,23.8667,2.128688524590164
Kiltua,63.828,27.8391,2.166666666666668
Kokkosniva,67.223056,27.321111,1.934426229508197
Kolsi,61.273333,22.355,2.3562841530054657
Korkeakoski,60.531389,26.9075,2.1213114754098363
Kuhankoski,62.375833,25.9475,2.05464480874317
Kuokkastenkoski,63.541111,28.953611,1.770765027322404
Kurittukoski,67.858611,26.714722,1.9642076502732235
Kurkiaska,67.285,26.728611,1.8357923497267752
Kuurna,62.705278,29.8725,1.9467213114754087
Kuusankoski hydropower plant,60.9075,26.649444,2.051912568306012
LSV Harjavallan vesivoimalaitos,61.337778,22.115556,2.3087431693989084
Leppikoski,64.455556,27.887222,2.383879781420766
Leuhunkoski,62.667778,25.269167,2.2057377049180347
Lieksankoski,63.3362,30.03768,1.962841530054645
Maalismaa,65.310833,25.693611,2.0612021857923493
Mankala,60.926944,26.268056,1.985245901639345
Matarakoski,67.5847,26.7453,1.9948087431693984
Melo,61.462083,23.437917,2.228142076502731
Merikoski,65.021667,25.4825,1.93415300546448
Montta,64.820556,26.013889,2.101912568306012
Myllykosken vesivoimalaitos VVA2,60.766944,26.771111,2.049726775956284
Nuojua,64.577222,26.713611,2.201092896174864
Oksava,63.75,25.3333,2.035245901639345
Ossauskoski,66.155998,25.125,2.030601092896174
Pahkakoski,65.358333,26.038333,1.9877049180327864
Palokki,62.561944,28.625,1.9636612021857929
Pamilo Heinajoki,62.807917,30.529583,1.921584699453554
Pankakoski,63.326389,30.138056,2.044808743169398
Peltokoski,62.42,30.439167,1.8710382513661208
Permantokoski,66.4925,26.127222,1.865573770491804
Petajaskoski / Petäjäskoski,66.272222,25.3375,1.972950819672132
Pirttikoski,66.339722,27.153611,1.985792349726776
Portimokoski,66.378611,23.784167,1.9762295081967205
Porttipahta,68.10875,26.722083,1.8046448087431703
Puntarikoski,62.825417,29.475417,2.030054644808742
Pyhäkoski,64.846111,26.040278,2.101912568306012
Pälli,64.843333,26.193889,2.101912568306012
Raasakka,65.334444,25.411667,2.179234972677596
Ruskeakoski,62.426944,30.4425,1.94153005464481
Seitakorva,66.405833,27.330278,2.039071038251368
Seitenoikea,64.592222,28.416111,2.18825136612022
Tainionkoski Tainionkoski Hydroelectric Power Plant Finland - Tainionkoski Hydroelectric Power Plant Finland,61.210576,28.782635,1.9890710382513663
Taivalkoski,65.931,24.714001,2.29535519125683
Tammerkoski,61.4991,23.7871,2.25464480874317
Tampella ve,61.5037,23.7659,2.25464480874317
Tyrvään vesivoimalaitos,61.328611,22.846944,2.278688524590165
Uljua,64.3333,25.85,2.084699453551914
Utanen,64.736389,26.477778,2.0456284153005466
Vaaja,62.244722,25.887222,2.1027322404371604
Vajukoski,67.696111,26.804444,1.949180327868853
Valajaskoski,66.424004,25.540001,1.9691256830601087
Vanttauskoski,66.36875,26.689583,2.01065573770492
Verla 1 ja 2,61.062778,26.639722,1.9781420765027329
Voikkaa hydropower plant,60.938333,26.5975,2.051912568306012
Vuolenkoski ve,61.079722,26.1825,2.0010928961748644
 Centrale Hydroéléctrique d'Arrens,42.9474,-0.2179,5.8497267759562845
Aigle AIGLE 6 - L'Aigle Hydroelectric Generating Station France,45.24373,2.22483,4.171857923497267
Albaret-le-Comtal,44.8674,3.1442,3.1767759562841555
Allement Allement Hydroelectric Power Station France - Allement Hydroelectric Power Station France,46.112,5.422,3.909562841530054
Alrance Alrance Hydroelectric Power Station France - Alrance Hydroelectric Power Station France,44.103552,2.694659,3.023224043715848
Aragnouet,42.7845,0.1782,3.913114754098362
Arbéost,42.9795,-0.2738,5.883333333333328
Arcambal,44.4548,1.5482,3.00464480874317
Argancy,49.190616,6.191018,2.842622950819674
Argentat Hydroelectric Generating Station - Argentat Hydroelectric Generating Station,45.104,1.954,4.533060109289618
Argentiere bessee Argentiere-La Bessee Hydroelectric Power Station France - Argentiere-La Bessee Hydroelectric Power Station France,44.794722,6.559722,3.040437158469945
Argentine,45.4894,6.3328,5.386885245901637
Arlos,42.8865,0.7118,3.934153005464481
Arreau,42.9143,0.3356,4.429781420765024
Artemare,45.8699,5.6901,3.5737704918032773
Artouste Hydroelectric Power Station France - Artouste Hydroelectric Power Station France,42.887,-0.411,5.583060109289618
Arvan,45.254167,6.323333,4.588797814207651
Arvillard,45.4095,6.1709,5.3423497267759545
Aston ASTON - Aston Hydroelectric Power Station France,42.77668,1.67671,4.16229508196721
Auribeau-sur-Siagne,43.6121,6.9118,3.3860655737704906
Auterive,43.3594,1.4775,2.695628415300548
Auzat,42.76298,1.47771,4.9046448087431695
Auzerette Auzerette Hydroelectric Power Station France - Auzerette Hydroelectric Power Station France,45.365,2.646,3.941803278688522
Avignon AVIGNON VILLENEUVE - Avignon  Hydroelectric Power Station France,43.97606,4.81721,2.9838797814207654
Avrieux,45.1776,6.7466,3.611202185792349
Badecon-le-Pin/Roche-bat-l'Aigue,46.529722,1.581389,3.0423497267759574
Bagnères-de-Bigorre,42.9745,0.1329,5.809016393442624
Baigts-de-Béarn,43.509465,-0.84165,3.4418032786885235
Baix logis neuf BAIX LOGIS NEUF - Logis Neuf Hydroelectric Power Station France,44.67605,4.78827,2.859016393442624
Banca,43.1001,-1.3716,5.338524590163932
Bancairon Bancairon Hydroelectric Power Station France - Bancairon Hydroelectric Power Station France,44.001667,7.136944,3.7863387978142025
Bar,45.344167,1.823889,4.160382513661204
Beaucens,42.9519,0.0232,5.173224043715845
Beauchastel BEAUCHASTEL - Beauchastel Hydroelectric Power Station France,44.82397,4.81049,2.821311475409836
Beaumont Beaumont Hydroelectric Power Station France - Beaumont Hydroelectric Power Station France,43.735,5.753,2.5060109289617487
Beauvoir Beauvoir Hydroelectric Power Station France - Beauvoir Hydroelectric Power Station France,45.121,5.319,3.1445355191256845
Benagues,43.0775,1.6098,3.2844262295081963
Bessières,43.797,1.5859,2.491803278688525
Bessède-de-Sault,42.7854,2.1372,2.327868852459016
Beyrède-Jumet,42.9554,0.338,3.934699453551912
Bissorte Hydroelectric 1/2/3,45.202,6.585,3.6969945355191247
Bonnac,43.1723,1.5878,2.4532786885245925
Bonnevaux,46.2948,6.6664,4.005191256830603
Bort BORT 1 - Bort Les Orgues Hydroelectric Power Station France,45.41269,2.49862,3.666393442622948
Bourg les valence BOURG les VALENCE - Bourg Les Valence Hydroelectric Power Station France,44.96128,4.87221,2.7379781420765017
Bourg-de-Sirod,46.725278,5.958056,5.118852459016395
Bourg-et-Comin,49.4027,3.6594,2.93934426229508
Bouvante,44.935556,5.257222,3.859016393442625
Bozel,45.441875,6.637755,4.583879781420765
Brassac,43.612,2.5118,3.940437158469943
Bregnier cordon Bregnier-Cordon Hydroelectric Power Station France - Bregnier-Cordon Hydroelectric Power Station France,45.654,5.605,3.510109289617488
Brens-Virigin Hydroelectric Power Station France - Brens-Virigin Hydroelectric Power Station France,45.725,5.698,4.096721311475411
Briançon/Pont Blady,44.8996,6.649,2.969672131147543
Brillanne & Brillanne I & II Hydroelectric Power Station France - Brillanne I & II Hydroelectric Power Station France,43.921,5.925,2.5224043715847
Brommat BROMMAT 6/7,44.76793,2.68415,4.088524590163934
Brousse-le-Château,44.0062,2.6383,2.83169398907104
Bujaleuf,45.8025,1.614444,3.7396174863387937
Buzy,43.1411,-0.4466,5.15928961748634
Caderousse CADEROUSSE - Caderousse Hydroelectric Power Station France,44.09606,4.72329,2.866393442622949
Cajarc,44.4939,1.8384,3.289344262295084
Calypso,45.235311,6.439914,3.813661202185792
Cambeyrac Cambeyrac Hydroelectric Power Station France - Cambeyrac Hydroelectric Power Station France,44.655,2.574,4.250546448087429
Campan,42.9617,0.2164,5.809016393442624
Capdenac,44.5849,2.066,3.635792349726776
Cargiaca,41.7322,9.0412,3.4254098360655747
