name,latitude,longitude,mndwi
Oschenik innerfragant Innerfragant Pumped Storage Power Plant Austria - Innerfragant Pumped Storage Power Plant Austria,47.1374819,12.3273397,0.8285115361213684
Ottensheim-Wilhering,48.3166,14.1512,0.2184720635414123
Passau-Ingling,48.5536,13.4371,0.5857194066047668
Paternion,46.7209,13.6453,0.0012248260900378
Peggau,47.2,15.35,-0.3083437979221344
Pernegg,47.3598,15.3424,-0.3387092053890228
Pichlern,48.022415,14.322989,-0.2591050267219543
Pöls,47.217744,14.599075,-0.3751891255378723
Rabenstein,47.251148,15.31034,0.018873767927289
Reisseck Reisseck-Jahresspeicher-KW - Kolbnitz (Reisseck/Kreuzeck) Hydroelectric Power Plant Austria,46.89411184,13.34315198,-0.4410847127437591
Reißeck-Tagesspeicher-KW,46.87297136,13.31180113,-0.3718039095401764
Rellswerk,47.0531826,9.7529724,0.5974821448326111
Remsach,47.1333333,13.1333333,-0.3954627811908722
Rifawerk Rifa Pumped Storage Power Plant Austria - Rifa Pumped Storage Power Plant Austria,46.9782553,10.0383768,-0.422625869512558
Rodundwerk I,47.085,9.8813,0.1018075793981552
Rodundwerk II,47.0847,9.8744,0.0400269888341426
Rosegg-St. James,46.5696,14.0268,-0.2870630323886871
Rosenau,47.992886,14.376871,0.0187262948602437
Rott,47.79940564,13.04399014,-0.1793854385614395
Roßhag Rosshag-KW - Rosshag Pumped Storage Power Plant Austria,47.086876,11.774061,-0.4040063023567199
Salza,47.491345,13.956943,-0.4434739351272583
Schonau,47.775426,14.650605,-0.0881405994296073
Schwabeck,46.658,14.8726,0.2446955144405365
Schwarzach,47.3152,13.1389,-0.2646152973175049
Schwarzach-KW,46.929001,12.545,-0.535977840423584
Schärding neuhaus,48.4355526,13.44094485,0.1891070008277893
Sidan-KW,47.348999,11.885,-0.4586918950080871
Soelk-KW,47.433998,13.949,-0.4554756879806518
Spielfeld,46.716449,15.62127,-0.0829222351312637
St. Georgen,47.104453,14.087593,-0.4007008373737335
St. Johann,47.3386,13.1974,-0.0946780666708946
St. Martin,46.987392,15.091178,-0.5435779690742493
St. Pantaleon,48.224936,14.53116,-0.1504476368427276
St. Veit,47.3214,13.1744,-0.137396290898323
Staning,48.098607,14.468763,0.1557245552539825
Strubklamm,47.79940564,13.04399014,-0.1793854385614395
Ternberg,47.9333,14.35,-0.4854617118835449
Triebenbach,47.5,14.4667,-0.4510765969753265
Urreiting,47.3749,13.2101,-0.0151007901877164
Vermuntwerk,46.9684,10.0599,-0.2766051888465881
Vienna-Freudenau,48.1766,16.0,-0.4818148016929626
Villach,46.6329,13.8294,0.1278271973133087
Wald,47.9044444,13.0263889,-0.460890531539917
Walgauwerk,47.192,9.6815,-0.4678587019443512
Wallnerau Salzach stage,47.316,13.141,-0.2259418219327926
Wallnerau underwater stage,47.31554,13.140946,-0.1882509440183639
Wallsee-Mitterkirchen,48.1666,14.6953,0.09668430685997
Weinzödl,47.108388,15.392094,-0.1755671501159668
Werfen-Pfarrwerfen,47.4698,13.1945,0.0204054117202758
Weyer,47.84903023,14.63882788,-0.1813497245311737
Wiestal,47.79940564,13.04399014,-0.1793854385614395
Ybbs-Persenbeug,48.1892,15.0682,0.2315776050090789
Zederhaus,47.15,13.5,-0.3829500377178192
Mingechevir,40.79,47.0287,-0.1937668025493621
Shamkir,40.9487,46.168,-0.3604700565338135
Varvara,40.6837,47.0926,-0.0148365413770079
Yenikend,40.9193,46.2829,-0.0658920183777809
Beverce robertville Beverce (Robertville) Hydroelectric Power Project Belgium - Beverce (Robertville) Hydroelectric Power Project Belgium,50.4387,6.0386,-0.3143883347511291
COO,50.3849,5.8618,-0.4119780361652374
HEID-DE-GOREUX 1,50.426,5.7328,-0.3788661062717438
HU AMPSIN-NEUVILLE,50.5335,5.2962,0.1074980497360229
HU ANDENNE,50.4928,5.07,0.0028168212156742
HU GRAND-MALADES,50.4665,4.8992,-0.0395224131643772
HU IVOZ-RAMET,50.5922,5.4613,0.0472193211317062
HU LIXHE,50.7517,5.6863,0.0675144791603088
HU MONSIN,50.6517,5.6308,0.0900644436478614
PLATE TAILLE T,50.1884,4.3861,-0.1575101315975189
Bocac Hydroelectric Power Plant Bosnia and Herzegovina,44.5075,17.1618,-0.1416450589895248
Capljina Pumped Storage Power Plant Bosnia and Herzegovina,43.0133,17.8041,-0.4049427807331085
Grabovica Hydroelectric Power Plant Bosnia and Herzegovina,43.5872,17.7189,-0.2773939669132232
Jablanica Hydroelectric Power Plant Bosnia and Herzegovina,43.6924,17.7325,-0.0879529938101768
Jajce I Hidroelektrana Bosnia and Herzegovina,44.3774,17.2816,-0.4881928563117981
Jajce II Hidroelektrana Bosnia and Herzegovin,44.4279,17.2404,-0.4864412248134613
Krupa Hydroelectric Power Plant Bosnia and Herzegovina,44.5624,17.135,-0.4016112089157104
Mostar Hydroelectric Power Plant Bosnia and Herzegovina,43.3776,17.8449,-0.2515257894992828
Mostarsko Blato Hydroelectric Power Plant Bosnia and Herzegovina,43.2989,17.794,-0.5139942169189453
Pec Mlini Hydroelectric Power Plant Bosnia and Herzegovina,43.3375,17.3261,-0.5052980184555054
