name,latitude,longitude,ndbi
Cakovec Hydroelectric Power Plant Croatia Croatia,46.3113,16.4945,0.07185149
Djale Hydroelectric Power Plant Croatia,43.5745,16.7115,0.09697445
Dubrava Hydroelectric Power Plant Croatia Croatia,46.3205,16.7489,0.08871041
Dubrovnik Hydroelectric Power Plant Bosnia and Herzegovina,42.6037,18.2357,-0.06911361
Fužine,45.3049852,14.7148369,-0.049451403
Gojak Hydroelectric Power Plant Croatia Croatia,45.2989,15.2633,-0.18057741
Golubic Hydroelectric Power Plant Croatia Croatia,44.09,16.2204,-0.14415488
HE Rijeka,45.33499908,14.45199966,-0.04491947
Hidroelektrana Velebit / Velebit pump,44.2007328,15.6811168,0.11441702
Jaruga Hydroelectric Power Plant Croatia Croatia,43.805,15.9626,-0.083794296
Kraljevac Hydroelectric Power Plant Croatia,43.4307,16.8849,-0.14273095
Lesce Hydroelectric Power Plant Croatia Croatia,45.3485,15.3452,0.06849141
Maljacka Hydroelectric Power Plant Croatia Croatia,44.0019,16.0192,-0.15092981
Orlovac Hydroelectric Power Plant Croatia,43.6737,16.784,-0.036821064
Ozalj Hydroelectric Power Plant Croatia Croatia,45.6143,15.4778,-0.044481542
Peruca Hydroelectric Power Plant Croatia,43.7951,16.5968,-0.07504721
Senj - Senj Hydroelectric Power System Croatia Croatia,45.009998,14.893,-0.07164212
Senj Hydroelectric Power System Croatia Croatia,44.9429,14.9276,-0.09922722
Sklope Hydroelectric Power Plant Croatia Croatia,44.6895,15.2706,0.14376295
Varazdin Hydroelectric Power Plant Croatia Croatia,46.3479,16.2684,-0.013539075
Vinodol Hydroelectric Power System Croatia Croatia,45.2286,14.6736,-0.11598794
Zakucac Hydroelectric Power Plant Croatia,43.4581,16.7027,-0.1664099
?t?chovice I,49.8465,14.4219,0.07944684
?t?chovice II,49.8465,14.4219,0.07944684
Dale?ice,49.1245,16.1242,-0.06915035
Dlouhé Strán? I,50.0854,17.1794,-0.23866594
Hnevkovice,49.180417,14.447083,-0.13261831
Kamyk republic Kamyk Hydroelectric Power Plant Czech Republic - Kamyk Hydroelectric Power Plant Czech Republic,49.633,14.2468,0.1315437
Lipno I,48.6333,14.2375,-0.0034839797
Nechranice,50.36625,13.412917,-0.024089621
Orlík,49.6066,14.1816,0.14751424
Slapy,49.82354,14.434501,-0.007568854
Slezska Harta,49.89125,17.579583,0.05518402
Strekov republic Strekov Hydroelectric Power Plant Czech Republic - Strekov Hydroelectric Power Plant Czech Republic,50.6386,14.0478,0.04305689
Vir I,49.56625,16.30875,0.1768468
Vrane republic Vrane Hydroelectric Power Plant Czech Republic - Vrane Hydroelectric Power Plant Czech Republic,49.9381,14.3749,0.108362965
Vranov,48.907917,15.817083,0.17087215
Ahvenkoski,60.5,26.5,-0.20666392
Aittokoski,64.8364584,28.85048,-0.0108294375
Alakoski,62.55,29.25,-0.34037837
Anjalankoski,60.69833333,26.81611111,0.08312236
Atro,63.3725,27.98833333,-0.10151581
Finlayson ve,61.5025,23.75944444,0.077580154
Haapakoski,65.3333,25.2833,-0.18290928
Hamari,64.07555556,24.57944444,-0.054563936
Hietamankoski,62.59944444,25.575,-0.10501959
Hilmonkoski,63.06333333,25.33722222,-0.33877608
Hinkua,63.70194444,25.35222222,-0.35957965
Hirvikoski,62.80944444,23.03583333,-0.2702919
Imatra Imatra - Imatra Hydroelectric Power Plant Finland,61.166797,28.774695,0.031624444
Inkeroinen ve,60.71027778,26.81361111,0.011272696
Isohaara,65.797083,24.549583,-0.13116474
Juankoski,63.0675,28.33861111,0.07413304
Jumisko,66.3333,28.15,-0.363817
Juotas,63.5,22.5333,-0.05495256
Jylhama,64.57875,26.76625,-0.33997655
KAVO Koivukoski III,64.22333333,27.78444444,-0.069191694
Kaaranneskoski,66.647,24.4266,-0.18467078
Kaihua,66.35,26.85,-0.32836056
Kaitfors,63.694,23.4009,-0.24191077
Kaltimo,62.807917,30.179583,-0.10147596
Karjalankoski,63.04472222,28.30416667,-0.120706886
Katerman vesivoimalaitos,64.09611111,28.97388889,0.014237349
Kattilakoski,63.47,23.30638889,-0.24038213
Keltti hydropower plant,60.87361111,26.61444444,0.041726258
Kelukoski,67.45555556,26.59833333,0.0060004587
Kierikki,65.35944444,25.91,-0.14910336
Killinkoski,62.4,23.8667,-0.10693124
Kiltua,63.828,27.8391,-0.20654707
Kokkosniva,67.22305556,27.32111111,0.04261781
Kolsi,61.27333333,22.355,0.021443574
Korkeakoski,60.53138889,26.9075,0.03470159
Kuhankoski,62.37583333,25.9475,0.044662416
Kuokkastenkoski,63.54111111,28.95361111,-0.20078324
Kurittukoski,67.85861111,26.71472222,-0.05976094
Kurkiaska,67.285,26.72861111,-0.16050108
Kuurna,62.70527778,29.8725,-0.0032168159
Kuusankoski hydropower plant,60.9075,26.64944444,-0.01914672
LSV Harjavallan vesivoimalaitos,61.33777778,22.11555556,-0.122998245
Leppikoski,64.45555556,27.88722222,-0.044980183
Leuhunkoski,62.66777778,25.26916667,-0.0025633422
Lieksankoski,63.3362,30.03768,-0.11790154
Maalismaa,65.31083333,25.69361111,0.011300186
Mankala,60.92694444,26.26805556,0.041878354
Matarakoski,67.5847,26.7453,0.024559716
Melo,61.462083,23.437917,-0.11244524
Merikoski,65.02166667,25.4825,-0.048881434
Montta,64.82055556,26.01388889,0.04394084
Myllykosken vesivoimalaitos VVA2,60.76694444,26.77111111,0.13353088
Nuojua,64.57722222,26.71361111,0.050546892
Oksava,63.75,25.3333,-0.10622067
Ossauskoski,66.155998,25.125,0.048395466
Pahkakoski,65.35833333,26.03833333,-0.018296136
Palokki,62.56194444,28.625,-0.09365923
Pamilo Heinajoki,62.807917,30.529583,-0.17781313
Pankakoski,63.32638889,30.13805556,0.02229283
Peltokoski,62.42,30.43916667,-0.32879838
Permantokoski,66.4925,26.12722222,-0.07751317
Petajaskoski / Petäjäskoski,66.27222222,25.3375,0.16948824
Pirttikoski,66.33972222,27.15361111,0.08390479
Portimokoski,66.37861111,23.78416667,-0.05702783
Porttipahta,68.10875,26.722083,-0.023477886
Puntarikoski,62.825417,29.475417,-0.19341299
Pyhäkoski,64.84611111,26.04027778,0.078757286
Pälli,64.84333333,26.19388889,-0.118904196
Raasakka,65.33444444,25.41166667,-0.0035844615
Ruskeakoski,62.42694444,30.4425,-0.105791055
Seitakorva,66.40583333,27.33027778,-0.022119693
Seitenoikea,64.59222222,28.41611111,-0.027679974
Tainionkoski Tainionkoski Hydroelectric Power Plant Finland - Tainionkoski Hydroelectric Power Plant Finland,61.210576,28.782635,0.012347863
Taivalkoski,65.931,24.714001,0.040233605
