name,latitude,longitude,slope_degrees
Melk,48.2232,15.3042,2.449924230575561
Mellach run power plant,46.910999,15.486,2.5753018856048584
Mühlrading,48.131686,14.473996,1.6261669397354126
Nassfeld,47.05,13.05,12.728525161743164
Neuötting,48.2497963,12.69110217,2.8721847534179688
Niklai,46.8167,13.3167,21.62367820739746
Nussdorf near Vienna,48.259257,16.369185,2.968246459960937
Oberaudorf Ebbs,47.6413,12.1989,1.8759796619415283
Obervermuntwerk,46.9271,10.0539,9.623638153076172
Obervermuntwerk II,46.936111,10.0625,15.698040962219238
Obervogau,46.745776,15.571428,5.203975677490234
Oschenik innerfragant Innerfragant Pumped Storage Power Plant Austria - Innerfragant Pumped Storage Power Plant Austria,47.1374819,12.3273397,20.60371780395508
Ottensheim-Wilhering,48.3166,14.1512,3.515471935272217
Passau-Ingling,48.5536,13.4371,2.5121283531188965
Paternion,46.7209,13.6453,3.258413314819336
Peggau,47.2,15.35,5.86426305770874
Pernegg,47.3598,15.3424,5.151631832122803
Pichlern,48.022415,14.322989,3.917797565460205
Pöls,47.217744,14.599075,3.892736673355103
Rabenstein,47.251148,15.31034,8.743682861328125
Reisseck Reisseck-Jahresspeicher-KW - Kolbnitz (Reisseck/Kreuzeck) Hydroelectric Power Plant Austria,46.89411184,13.34315198,18.33004570007324
Reißeck-Tagesspeicher-KW,46.87297136,13.31180113,5.599057674407959
Rellswerk,47.0531826,9.7529724,0.4841360449790954
Remsach,47.1333333,13.1333333,5.430818557739258
Rifawerk Rifa Pumped Storage Power Plant Austria - Rifa Pumped Storage Power Plant Austria,46.9782553,10.0383768,14.777201652526855
Rodundwerk I,47.085,9.8813,12.09156322479248
Rodundwerk II,47.0847,9.8744,12.511448860168455
Rosegg-St. James,46.5696,14.0268,3.2143352031707764
Rosenau,47.992886,14.376871,5.306761264801025
Rott,47.79940564,13.04399014,8.978297233581543
Roßhag Rosshag-KW - Rosshag Pumped Storage Power Plant Austria,47.086876,11.774061,20.195554733276367
Salza,47.491345,13.956943,15.577945709228516
Schonau,47.775426,14.650605,17.477275848388672
Schwabeck,46.658,14.8726,8.451847076416016
Schwarzach,47.3152,13.1389,7.729456901550293
Schwarzach-KW,46.929001,12.545,21.08866310119629
Schärding neuhaus,48.4355526,13.44094485,1.7046791315078735
Sidan-KW,47.348999,11.885,14.603906631469728
Soelk-KW,47.433998,13.949,9.336759567260742
Spielfeld,46.716449,15.62127,5.251881122589111
St. Georgen,47.104453,14.087593,8.931108474731445
St. Johann,47.3386,13.1974,6.307494640350342
St. Martin,46.987392,15.091178,12.457152366638184
St. Pantaleon,48.224936,14.53116,2.1303579807281494
St. Veit,47.3214,13.1744,6.939463138580322
Staning,48.098607,14.468763,2.905046463012696
Strubklamm,47.79940564,13.04399014,8.978297233581543
Ternberg,47.9333,14.35,11.205251693725586
Triebenbach,47.5,14.4667,1.1763787269592283
Urreiting,47.3749,13.2101,5.138664245605469
Vermuntwerk,46.9684,10.0599,17.116016387939453
Vienna-Freudenau,48.1766,16.0,7.703266620635986
Villach,46.6329,13.8294,5.631968021392822
Wald,47.9044444,13.0263889,5.328701019287109
Walgauwerk,47.192,9.6815,9.464190483093262
Wallnerau Salzach stage,47.316,13.141,7.676215648651123
Wallnerau underwater stage,47.31554,13.140946,7.733253002166748
Wallsee-Mitterkirchen,48.1666,14.6953,2.333025455474853
Weinzödl,47.108388,15.392094,8.247288703918457
Werfen-Pfarrwerfen,47.4698,13.1945,7.550371646881103
Weyer,47.84903023,14.63882788,16.180574417114258
Wiestal,47.79940564,13.04399014,8.978297233581543
Ybbs-Persenbeug,48.1892,15.0682,4.495587348937988
Zederhaus,47.15,13.5,18.846433639526367
Mingechevir,40.79,47.0287,3.893557071685791
Shamkir,40.9487,46.168,3.915127754211426
Varvara,40.6837,47.0926,1.0032833814620972
Yenikend,40.9193,46.2829,1.039348840713501
Beverce robertville Beverce (Robertville) Hydroelectric Power Project Belgium - Beverce (Robertville) Hydroelectric Power Project Belgium,50.4387,6.0386,9.28524684906006
COO,50.3849,5.8618,10.558272361755373
HEID-DE-GOREUX 1,50.426,5.7328,11.332154273986816
HU AMPSIN-NEUVILLE,50.5335,5.2962,3.4162960052490234
HU ANDENNE,50.4928,5.07,5.710914611816406
HU GRAND-MALADES,50.4665,4.8992,5.714461803436279
HU IVOZ-RAMET,50.5922,5.4613,3.133319139480591
HU LIXHE,50.7517,5.6863,1.8734378814697263
HU MONSIN,50.6517,5.6308,3.135159969329834
PLATE TAILLE T,50.1884,4.3861,3.20153546333313
Bocac Hydroelectric Power Plant Bosnia and Herzegovina,44.5075,17.1618,13.569040298461914
Capljina Pumped Storage Power Plant Bosnia and Herzegovina,43.0133,17.8041,8.30815601348877
Grabovica Hydroelectric Power Plant Bosnia and Herzegovina,43.5872,17.7189,15.883514404296877
Jablanica Hydroelectric Power Plant Bosnia and Herzegovina,43.6924,17.7325,15.763534545898438
Jajce I Hidroelektrana Bosnia and Herzegovina,44.3774,17.2816,20.52363586425781
Jajce II Hidroelektrana Bosnia and Herzegovin,44.4279,17.2404,22.626916885375977
Krupa Hydroelectric Power Plant Bosnia and Herzegovina,44.5624,17.135,16.91752815246582
Mostar Hydroelectric Power Plant Bosnia and Herzegovina,43.3776,17.8449,5.684672355651856
Mostarsko Blato Hydroelectric Power Plant Bosnia and Herzegovina,43.2989,17.794,9.261730194091797
Pec Mlini Hydroelectric Power Plant Bosnia and Herzegovina,43.3375,17.3261,17.471481323242188
Rama Hydroelectric Power Plant Bosnia and Herzegovina,43.747,17.6758,18.65058135986328
Salakovac Hydroelectric Power Plant Bosnia and Herzegovina,43.4478,17.8369,11.108041763305664
Trebinje I Hydroelectric Power Plant Bosnia and Herzegovina,42.7338,18.4971,13.002923011779783
Trebinje II Hydroelectric Power Plant Bosnia and Herzegovina,42.7066,18.3805,7.812918663024902
Visegrad Hydroelectric Power Plant Bosnia and Herzegovina,43.7603,19.2891,12.195984840393066
Aleko Aleko Hydroelectric Power Plant Bulgaria - Aleko Hydroelectric Power Plant Bulgaria,42.1194,24.289,5.470590114593506
Alexander Stambolyski Hydro Power Site,43.1213,25.171,4.235611915588379
Barzia HPP,43.19,23.167,9.317814826965332
Batak Batak Hydroelectric Power Plant Bulgaria - Batak Hydroelectric Power Plant Bulgaria,41.91922,24.19305,12.031545639038086
Beli Iskar + Mala Tsarkva + Simeonovo HPP,42.1373,23.5691,8.280326843261719
Devin Devin Hydroelectric Power Plant Bulgaria - Devin Hydroelectric Power Plant Bulgaria,41.72052,24.42502,15.049107551574709
HPP Tsankov kamak,41.83225,24.42183,15.301129341125488
IVAILOVGRAD,41.5839,26.1075,11.765144348144531
KARDZHALI,41.6334,25.3381,12.18004035949707
Kalin + Kamenitsa + Pastra + Rila HPP,42.07,23.13,8.567017555236816
Klisoura HPP,43.16859,23.15498,10.434196472167969
Kokalyane HPP,42.58398,23.42819,9.431028366088867
Koprinka HPP (Kaplan),42.6125,25.3198,3.040769338607788
Krichim + Vacha I + Vacha II Hydro Power Plant,42.02719,24.47085,18.495874404907227
Lilyanovo,41.62674,23.33449,15.948284149169922
MOMINA KLISU,42.232,23.9494,10.827214241027832
Orphey Orfeus bulgeria HPP_ORFEUS_PUMP - Orfeus Pumped Storage Hydroelectric Power Plant Bulgeria,41.94027778,24.44666667,16.122262954711914
PESHTERA,42.0132,24.2574,17.759395599365234
PSBELMEKEN,42.1996,23.8586,18.89181137084961
PSCHAIRA GEN,42.1603,23.8612,13.37716579437256
Pasarel Hydro Power Station,42.5441,23.4861,15.59758758544922
Petrohan HPP,43.12,23.12,10.764078140258787
Pirin HPP,41.5745,23.5626,18.1127872467041
Popina Laka,41.65627,23.3754,18.010990142822266
SESTRIMO,42.2083,23.9158,17.85397720336914
Sandanski I,41.58536,23.2905,11.074213981628418
