name,latitude,longitude,discharge
Kokkosniva,67.223056,27.321111,1.026
Kolsi,61.273333,22.355,199.506
Korkeakoski,60.531389,26.9075,226.596
Kuhankoski,62.375833,25.9475,137.545
Kuokkastenkoski,63.541111,28.953611,12.927
Kurittukoski,67.858611,26.714722,1.862
Kurkiaska,67.285,26.728611,30.797
Kuurna,62.705278,29.8725,227.355
Kuusankoski hydropower plant,60.9075,26.649444,220.926
LSV Harjavallan vesivoimalaitos,61.337778,22.115556,201.518
Leppikoski,64.455556,27.887222,97.736
Leuhunkoski,62.667778,25.269167,1.031
Lieksankoski,63.3362,30.03768,0.152
Maalismaa,65.310833,25.693611,195.292
Mankala,60.926944,26.268056,208.988
Matarakoski,67.5847,26.7453,11.514
Melo,61.462083,23.437917,145.948
Merikoski,65.021667,25.4825,279.957
Montta,64.820556,26.013889,248.433
Myllykosken vesivoimalaitos VVA2,60.766944,26.771111,225.634
Nuojua,64.577222,26.713611,232.361
Oksava,63.75,25.3333,0.154
Ossauskoski,66.155998,25.125,547.655
Pahkakoski,65.358333,26.038333,0.369
Palokki,62.561944,28.625,0.377
Pamilo Heinajoki,62.807917,30.529583,0.142
Pankakoski,63.326389,30.138056,78.732
Peltokoski,62.42,30.439167,9.896
Permantokoski,66.4925,26.127222,28.074
Petajaskoski / Petäjäskoski,66.272222,25.3375,0.21
Pirttikoski,66.339722,27.153611,306.997
Portimokoski,66.378611,23.784167,62.127
Porttipahta,68.10875,26.722083,8.317
Puntarikoski,62.825417,29.475417,7.076
Pyhäkoski,64.846111,26.040278,248.433
Pälli,64.843333,26.193889,248.433
Raasakka,65.334444,25.411667,0.511
Ruskeakoski,62.426944,30.4425,9.328
Seitakorva,66.405833,27.330278,303.53
Seitenoikea,64.592222,28.416111,79.906
Tainionkoski Tainionkoski Hydroelectric Power Plant Finland - Tainionkoski Hydroelectric Power Plant Finland,61.210576,28.782635,0.938
Taivalkoski,65.931,24.714001,564.972
Tammerkoski,61.4991,23.7871,1.13
Tampella ve,61.5037,23.7659,1.13
Tyrvään vesivoimalaitos,61.328611,22.846944,180.494
Uljua,64.3333,25.85,6.774
Utanen,64.736389,26.477778,236.217
Vaaja,62.244722,25.887222,143.881
Vajukoski,67.696111,26.804444,0.317
Valajaskoski,66.424004,25.540001,530.546
Vanttauskoski,66.36875,26.689583,318.096
Verla 1 ja 2,61.062778,26.639722,4.624
Voikkaa hydropower plant,60.938333,26.5975,220.95
Vuolenkoski ve,61.079722,26.1825,207.13
 Centrale Hydroéléctrique d'Arrens,42.9474,-0.2179,1.29
Aigle AIGLE 6 - L'Aigle Hydroelectric Generating Station France,45.24373,2.22483,83.145
Albaret-le-Comtal,44.8674,3.1442,0.262
Allement Allement Hydroelectric Power Station France - Allement Hydroelectric Power Station France,46.112,5.422,91.396
Alrance Alrance Hydroelectric Power Station France - Alrance Hydroelectric Power Station France,44.103552,2.694659,0.364
Aragnouet,42.7845,0.1782,0.347
Arbéost,42.9795,-0.2738,0.37
Arcambal,44.4548,1.5482,1.312
Argancy,49.190616,6.191018,135.406
Argentat Hydroelectric Generating Station - Argentat Hydroelectric Generating Station,45.104,1.954,114.106
Argentiere bessee Argentiere-La Bessee Hydroelectric Power Station France - Argentiere-La Bessee Hydroelectric Power Station France,44.794722,6.559722,13.208
Argentine,45.4894,6.3328,0.142
Arlos,42.8865,0.7118,10.928
Arreau,42.9143,0.3356,0.122
Artemare,45.8699,5.6901,0.145
Artouste Hydroelectric Power Station France - Artouste Hydroelectric Power Station France,42.887,-0.411,1.106
Arvan,45.254167,6.323333,3.095
Arvillard,45.4095,6.1709,0.662
Aston ASTON - Aston Hydroelectric Power Station France,42.77668,1.67671,1.649
Auribeau-sur-Siagne,43.6121,6.9118,0.772
Auterive,43.3594,1.4775,32.455
Auzat,42.76298,1.47771,1.574
Auzerette Auzerette Hydroelectric Power Station France - Auzerette Hydroelectric Power Station France,45.365,2.646,24.717
Avignon AVIGNON VILLENEUVE - Avignon  Hydroelectric Power Station France,43.97606,4.81721,1505.694
Avrieux,45.1776,6.7466,0.212
Badecon-le-Pin/Roche-bat-l'Aigue,46.529722,1.581389,25.475
Bagnères-de-Bigorre,42.9745,0.1329,0.165
Baigts-de-Béarn,43.509465,-0.84165,56.892
Baix logis neuf BAIX LOGIS NEUF - Logis Neuf Hydroelectric Power Station France,44.67605,4.78827,1397.588
Banca,43.1001,-1.3716,0.634
Bancairon Bancairon Hydroelectric Power Station France - Bancairon Hydroelectric Power Station France,44.001667,7.136944,0.107
Bar,45.344167,1.823889,3.912
Beaucens,42.9519,0.0232,0.378
Beauchastel BEAUCHASTEL - Beauchastel Hydroelectric Power Station France,44.82397,4.81049,1348.774
Beaumont Beaumont Hydroelectric Power Station France - Beaumont Hydroelectric Power Station France,43.735,5.753,142.536
Beauvoir Beauvoir Hydroelectric Power Station France - Beauvoir Hydroelectric Power Station France,45.121,5.319,160.217
Benagues,43.0775,1.6098,15.537
Bessières,43.797,1.5859,137.803
Bessède-de-Sault,42.7854,2.1372,5.211
Beyrède-Jumet,42.9554,0.338,0.201
Bissorte Hydroelectric 1/2/3,45.202,6.585,14.255
Bonnac,43.1723,1.5878,16.266
Bonnevaux,46.2948,6.6664,3.877
Bort BORT 1 - Bort Les Orgues Hydroelectric Power Station France,45.41269,2.49862,18.549
Bourg les valence BOURG les VALENCE - Bourg Les Valence Hydroelectric Power Station France,44.96128,4.87221,1342.985
Bourg-de-Sirod,46.725278,5.958056,7.201
Bourg-et-Comin,49.4027,3.6594,0.085
Bouvante,44.935556,5.257222,0.548
Bozel,45.441875,6.637755,5.49
Brassac,43.612,2.5118,7.472
Bregnier cordon Bregnier-Cordon Hydroelectric Power Station France - Bregnier-Cordon Hydroelectric Power Station France,45.654,5.605,444.313
Brens-Virigin Hydroelectric Power Station France - Brens-Virigin Hydroelectric Power Station France,45.725,5.698,0.693
Briançon/Pont Blady,44.8996,6.649,3.13
Brillanne & Brillanne I & II Hydroelectric Power Station France - Brillanne I & II Hydroelectric Power Station France,43.921,5.925,1.112
Brommat BROMMAT 6/7,44.76793,2.68415,2.498
Brousse-le-Château,44.0062,2.6383,1.168
Bujaleuf,45.8025,1.614444,4.178
Buzy,43.1411,-0.4466,0.57
Caderousse CADEROUSSE - Caderousse Hydroelectric Power Station France,44.09606,4.72329,1503.757
Cajarc,44.4939,1.8384,0.132
Calypso,45.235311,6.439914,18.526
Cambeyrac Cambeyrac Hydroelectric Power Station France - Cambeyrac Hydroelectric Power Station France,44.655,2.574,51.116
Campan,42.9617,0.2164,0.927
Capdenac,44.5849,2.066,103.261
