name,latitude,longitude,ndvi,discharge,ndwi,precipitation,slope_degrees,ndbi,mndwi,label
BEMBEZAR,37.903,-5.207,0.4929253458976745,0.119,,2.3019125683060127,11.495962,,,1
BIESCAS 21,42.624001,-0.24,0.6364797949790955,0.35,,4.477049180327865,15.359935,,,1
BRETEA,45.667992,23.001966,0.3497589230537414,10.912,,1.465846994535519,1.2766211,,,1
BUENDIA 1,40.398998,-2.784,0.2749399542808532,7.592,,1.55792349726776,11.161746,,,1
BUHUSI,46.722069,26.671456,0.4279072284698486,0.472,,1.9549180327868847,1.0229797,,,1
BURGUILLO 1,40.424999,-4.534,0.1565396785736084,7.16,,1.7306010928961764,9.920103,,,1
Babeni,44.920417,24.250417,,134.866,,1.5677595628415308,0.9549709,,,1
Badecon-le-Pin/Roche-bat-l'Aigue,46.529722,1.581389,0.5152578353881836,25.475,-0.46033344,3.0423497267759574,8.915382385253906,,,1
Bagn,60.827132,9.548789,0.693137526512146,61.082,,2.7997267759562856,11.339029312133787,,,1
Bagnères-de-Bigorre,42.9745,0.1329,0.7370826601982117,0.165,-0.6389871,5.809016393442624,20.77663993835449,,,1
Baigts-de-Béarn,43.509465,-0.84165,0.3180175423622131,56.892,-0.21709666,3.4418032786885235,2.894580364227295,,,1
Baix logis neuf BAIX LOGIS NEUF - Logis Neuf Hydroelectric Power Station France,44.67605,4.78827,-0.1507952213287353,1397.588,0.26649225,2.859016393442624,1.9058681726455688,,,1
Baixo Sabor Montante - G1,41.209099,-7.049,0.3859464228153229,34.203,,1.892349726775956,11.9770775,,,1
Baksanskaya HPP,43.6551,43.3969,0.3218620717525482,44.14,,1.9297814207650268,6.469551,,,1
Balforsens krv,64.655189,18.48563,0.1719158142805099,220.684,,2.116120218579235,4.164506,,,1
Balsorano,41.803889,13.558889,0.6621150374412537,4.742,,3.6158469945355183,6.907768726348877,,,1
Banca,43.1001,-1.3716,0.7997190356254578,0.634,-0.71336293,5.338524590163932,13.728875160217283,,,1
Bancairon Bancairon Hydroelectric Power Station France - Bancairon Hydroelectric Power Station France,44.001667,7.136944,0.3975894153118133,0.107,-0.38060382,3.7863387978142025,19.58697891235352,,,1
Banja / Banjë,40.96,20.068,-0.1580608934164047,42.818,0.26867118,3.379781420765025,8.528314590454102,0.33673292,-0.020671342,1
Bannalp/Oberrickenbach,46.880304,8.42126,0.7053880095481873,1.049,,5.515846994535519,13.752469,,,1
Bannwil,47.229373,7.732298,0.1428025811910629,253.707,,3.5991803278688503,5.3792014,,,1
Bar,45.344167,1.823889,0.772925078868866,3.912,-0.68529177,4.160382513661204,11.426413536071776,,,1
Barca cle,40.233333,15.233333,0.6125683188438416,0.577,,3.279508196721312,6.928210258483887,,,1
Barcis,46.159722,12.659444,0.5223135948181152,12.623,,5.321584699453553,6.1924333572387695,,,1
Bardonecchia,45.079722,6.710556,0.3156296908855438,1.059,,3.8557377049180297,9.39878273010254,,,1
Bardonetto - Pont,45.408611,7.487222,0.6012263894081116,8.153,,4.197267759562842,13.877812385559082,,,1
Bardufoss,69.043788,18.589681,0.5762393474578857,0.364,,3.7393442622950857,5.052295684814453,,,1
Bargi UP_BARGI_CEN_1,44.117039,11.04338,0.537388801574707,1.183,,3.927868852459016,9.536441802978516,,,1
Barroca,40.1115,-7.7297,0.3841608762741089,22.316,,2.249453551912569,10.337345,,,1
Barzia HPP,43.19,23.167,0.8197943568229675,0.341,-0.72948456,2.436338797814208,9.317814826965332,,,1
Baschi,42.672832,12.21796,0.4590225219726562,98.281,,2.295081967213114,6.567968845367432,,,1
Bassalt,56.510833,13.400278,0.6712102293968201,72.973,,2.5005464480874338,5.275226,,,1
Bastusel Bastusel G1 - Bastusel Hydroelectric Power Plant Sweden,65.403606,18.673154,0.1161145865917205,0.256,,2.222404371584701,2.5064485,,,1
Batak Batak Hydroelectric Power Plant Bulgaria - Batak Hydroelectric Power Plant Bulgaria,41.91922,24.19305,0.6362550258636475,0.056,-0.5881671,2.898360655737704,12.031545639038086,,,1
Batfors,64.832573,20.223732,0.2876445651054382,139.863,,2.0672131147541,4.198126,,,1
Batman Dam,38.1602,41.2026,0.0851067975163459,69.904,,2.45928961748634,6.8285065,,,1
Battiggio,45.983056,8.126944,0.4968627095222473,6.002,,6.738797814207647,15.835012435913086,,,1
Beaucens,42.9519,0.0232,0.4008318483829498,0.378,-0.18976046,5.173224043715845,10.693011283874512,,,1
Beauchastel BEAUCHASTEL - Beauchastel Hydroelectric Power Station France,44.82397,4.81049,0.032729685306549,1348.774,0.16266206,2.821311475409836,1.7409347295761108,,,1
